"sites","forecast_horizon","calibration_time","runs","savename","random_dates"
"all",28,90,10,"updated_nonspatial_state",2023-04-13
"all",28,90,10,"updated_nonspatial_state",2023-01-10
"all",28,90,10,"updated_nonspatial_state",2023-01-14
"all",28,90,10,"updated_nonspatial_state",2022-12-13
"all",28,90,10,"updated_nonspatial_state",2023-04-16
"all",28,90,10,"updated_nonspatial_state",2023-02-20
"all",28,90,10,"updated_nonspatial_state",2023-03-29
"all",28,90,10,"updated_nonspatial_state",2023-04-06
"all",28,90,10,"updated_nonspatial_state",2022-11-21
"all",28,90,10,"updated_nonspatial_state",2022-12-15
