"sites","forecast_horizon","calibration_time","runs","savename","spatial","random_dates"
"all",28,90,10,"spatial_state",TRUE,2023-01-08
"all",28,90,10,"spatial_state",TRUE,2023-04-17
"all",28,90,10,"spatial_state",TRUE,2023-03-10
"all",28,90,10,"spatial_state",TRUE,2023-04-12
"all",28,90,10,"spatial_state",TRUE,2022-12-14
"all",28,90,10,"spatial_state",TRUE,2022-11-15
"all",28,90,10,"spatial_state",TRUE,2022-12-22
"all",28,90,10,"spatial_state",TRUE,2023-01-25
"all",28,90,10,"spatial_state",TRUE,2022-11-22
"all",28,90,10,"spatial_state",TRUE,2023-02-15
